"","District.ID","X","State.ID","Year.x","Annual.Rainfall","Ten.Year.MA.AR","Year.y","Ten.Year.MA.AR.75","Drought"
"544","Upper Dibang Valley",23075,"Arunachal Pradesh",1923,10914.49,11441.037,1923,8580.77775,0
"545","Upper Subansiri",22769,"Arunachal Pradesh",1923,9007.29,9307.447,1923,6980.58525,0
"546","Uttar Dinajpur",29195,"West Bengal",1923,5865.85,6561.327,1923,4920.99525,0
"547","Uttar Kannand",51533,"Karnataka",1923,3902.08,3934.627,1923,2950.97025,0
"548","Uttarkashi",4409,"Uttaranchal",1923,7182.85,7101.791,1923,5326.34325,0
"549","Vadodara",43679,"Gujarat",1923,3129.08,3892.72,1923,2919.54,0
"550","Vaishali",19913,"Bihar",1923,5008.08,5240.495,1923,3930.37125,0
"551","Valsad",44291,"Gujarat",1923,3374.63,4192.615,1923,3144.46125,0
"552","Varanasi",17771,"Uttar Pradesh",1923,5566.41,5503.568,1923,4127.676,0
"553","Vellore",55409,"Tamil Nadu",1923,4208.79,4551.351,1923,3413.51325,0
"554","Vidisha",40313,"Madhya Pradesh",1923,4965.7,4560.162,1923,3420.1215,0
"555","Villupuram",55715,"Tamil Nadu",1923,4233.22,4455.598,1923,3341.6985,0
"556","Virudhunagar",57653,"Tamil Nadu",1923,6551.41,7263.316,1923,5447.487,0
"557","Vishakhapatnam",49493,"Andhra Pradesh",1923,5850.15,6134.479,1923,4600.85925,0
"558","Vizianagaram",49391,"Andhra Pradesh",1923,5916.84,6212.548,1923,4659.411,0
"559","Warangal",49085,"Andhra Pradesh",1923,4149.11,4383.898,1923,3287.9235,0
"560","Wardha",45413,"Maharashtra",1923,4528.09,4730.126,1923,3547.5945,0
"561","Washim",45209,"Maharashtra",1923,4197.44,4298.492,1923,3223.869,0
"562","Wayanad",53879,"Kerala",1923,8521.86,7932.042,1923,5949.0315,0
"563","West Garo Hills",26237,"Meghalaya",1923,7271.61,7993.116,1923,5994.837,0
"564","West Godavari",49697,"Andhra Pradesh",1923,4889.7,5019.651,1923,3764.73825,0
"565","West Imphal",24707,"Manipur",1923,10591,11289.4,1923,8467.05,0
"566","West Kameng",22463,"Arunachal Pradesh",1923,7372.5,7780.05,1923,5835.0375,0
"567","West Khasi Hills",26441,"Meghalaya",1923,8819.07,9428.523,1923,7071.39225,0
"568","West Nimar",39905,"Madhya Pradesh",1923,3788.4,3928.495,1923,2946.37125,0
"569","West Siang",22871,"Arunachal Pradesh",1923,10063.68,10345.021,1923,7758.76575,0
"570","West Sikkim",22055,"Sikkim",1923,7248.65,7726.378,1923,5794.7835,0
"571","West Tripura",25829,"Tripura",1923,9079.02,9347.733,1923,7010.79975,0
"572","Wokha",23891,"Nagaland",1923,7756.03,8170.736,1923,6128.052,0
"573","Yamuna Nagar",5939,"Haryana",1923,3045.98,2892.22,1923,2169.165,0
"574","Yanam",58163,"Puducherry",1923,5653,5641.6,1923,4231.2,0
"575","Yavatmal",46025,"Maharashtra",1923,4310.5,4531.05,1923,3398.2875,0
"576","Zunheboto",23789,"Nagaland",1923,8442.33,8920.508,1923,6690.381,0
